Reach ID,Date,NO3-N concentration (mg/l),NO3-N  loading (kg/d)
0,2016-01,21.195,534.512
0,2016-02,17.568,96.692
0,2016-03,4.578,8.333
0,2016-04,18.305,648.407
0,2016-05,8.49,180.051
0,2016-06,1.982,3.758
0,2016-07,14.887,105.837
0,2016-08,2.131,3.251
0,2016-09,0.192,0.354
0,2016-10,3.627,141.18
0,2016-11,4.852,86.161
0,2016-12,6.866,74.96
0,2017-01,8.307,61.028
0,2017-02,14.764,53.157
0,2017-03,5.293,387.573
0,2017-04,8.222,373.086
0,2017-05,6.473,183.204
0,2017-06,6.229,36.341
0,2017-07,2.217,7.83
0,2017-08,0.031,0.048
0,2017-09,0.358,0.511
0,2017-10,0.024,0.034
0,2017-11,0.993,1.541
0,2017-12,7.716,160.068
0,2018-01,7.579,67.334
0,2018-02,6.294,40.068
0,2018-03,6.213,372.693
0,2018-04,4.937,33.678
0,2018-05,4.298,66.079
0,2018-06,4.138,82.283
0,2018-07,0.215,0.56
0,2018-08,0.387,6.722
0,2018-09,0.195,0.344
0,2018-10,1.436,97.475
0,2018-11,1.996,294.82
0,2018-12,4.834,87.527
0,2019-01,4.493,209.628
0,2019-02,0.132,0.305
0,2019-03,0.123,0.576
0,2019-04,4.591,36.858
0,2019-05,2.45,373.305
0,2019-06,4.8,194.032
0,2019-07,0.209,0.615
0,2019-08,0.282,0.641
0,2019-09,2.794,11.876
0,2019-10,0.347,0.573
0,2019-11,3.57,140.88
0,2019-12,5.212,143.605
0,2020-01,2.603,7.73
0,2020-02,6.09,103.99
0,2020-03,0.171,0.32
0,2020-04,5.674,295.671
0,2020-05,1.145,4.278
0,2020-06,1.402,8.084
0,2020-07,0.314,0.72
0,2020-08,3.662,67.562
0,2020-09,3.294,54.88
0,2020-10,1.036,4.255
0,2020-11,1.102,4.307
0,2020-12,5.777,135.881
0,2021-01,3.437,45.418
0,2021-02,0.162,0.372
0,2021-03,0.993,2.779
0,2021-04,0.438,1.071
0,2021-05,0.807,1.863
0,2021-06,0.23,0.411
0,2021-07,0.215,0.332
0,2021-08,1.623,3.795
0,2021-09,3.34,7.233
0,2021-10,0.996,3.2
0,2021-11,2.237,63.994
0,2021-12,3.876,66.048
0,2022-01,3.666,107.912
0,2022-02,0.219,0.496
0,2022-03,0.56,1.409
0,2022-04,1.299,7.334
0,2022-05,7.977,94.288
0,2022-06,0.802,2.69
1,2016-01,52.579,0.027
1,2016-02,86.714,0.065
1,2016-03,24.6,0.081
1,2016-04,5.415,0.233
1,2016-05,2.429,0.455
1,2016-06,19.175,0.003
1,2016-07,5.66,0.538
1,2016-08,3.699,0.003
1,2016-09,5.569,0.002
1,2016-10,1.828,0.126
1,2016-11,13.557,0.022
