Table Name,Table Alias,Column Name,Column Alias
T_SNWB_Results,Subbasin snow water balance,Time,Time
T_SNWB_Results,Subbasin snow water balance,ID,Subbasin ID
T_SNWB_Results,Subbasin snow water balance,P,Precipitation (mm)
T_SNWB_Results,Subbasin snow water balance,P_net,Net precipitation (mm)
T_SNWB_Results,Subbasin snow water balance,P_blow,Snow blow in/out (mm)
T_SNWB_Results,Subbasin snow water balance,T,Air temperature (oC)
T_SNWB_Results,Subbasin snow water balance,Wind,Wind speed (m/s)
T_SNWB_Results,Subbasin snow water balance,SR,Snow redistribution (mm)
T_SNWB_Results,Subbasin snow water balance,SE,Snow sublimation (mm)
T_SNWB_Results,Subbasin snow water balance,SM,Snowmelt (mm)
T_SNWB_Results,Subbasin snow water balance,SA,Snow accumulation (mm)
T_GWWB_Results,Subbasin groundwater balance,Time,Time
T_GWWB_Results,Subbasin groundwater balance,ID,Subbasin ID
T_GWWB_Results,Subbasin groundwater balance,PERCO,Percolation (mm)
T_GWWB_Results,Subbasin groundwater balance,REVAP,Groundwater revaporation (mm)
T_GWWB_Results,Subbasin groundwater balance,PERDE,Deep percolation (mm)
T_GWWB_Results,Subbasin groundwater balance,IRRI_GAIN,Irrigation gain (mm)
T_GWWB_Results,Subbasin groundwater balance,IRRI_LOSS,Irrigation loss (mm)
T_GWWB_Results,Subbasin groundwater balance,BaseFlow_mm,Groundwater flow (mm)
T_GWWB_Results,Subbasin groundwater balance,GW,Groundwater storage (mm)
T_GWWB_Results,Subbasin groundwater balance,BaseFlow_m3/s,Groundwater flow (m^3/s)
T_GWWB_Results,Subbasin groundwater balance,Grazing_Loss,Cattle drinking loss (mm)
T_SOWB_Results,Subbasin soil water balance,Time,Time
T_SOWB_Results,Subbasin soil water balance,ID,Subbasin ID
T_SOWB_Results,Subbasin soil water balance,P,Precipitation (mm)
T_SOWB_Results,Subbasin soil water balance,T,Air temperature (oC)
T_SOWB_Results,Subbasin soil water balance,Soil_T,Soil temperature (oC)
T_SOWB_Results,Subbasin soil water balance,Interception_loss,Interception (mm)
T_SOWB_Results,Subbasin soil water balance,Depression_storage,Depression (mm)
T_SOWB_Results,Subbasin soil water balance,Infiltration,Infiltration (mm)
T_SOWB_Results,Subbasin soil water balance,Interception_ET,Interception ET (mm)
T_SOWB_Results,Subbasin soil water balance,Depression_ET,Depression ET (mm)
T_SOWB_Results,Subbasin soil water balance,Soil_ET,Soil ET (mm)
T_SOWB_Results,Subbasin soil water balance,Revap,GW revaporation (mm)
T_SOWB_Results,Subbasin soil water balance,Total_ET,Total ET (mm)
T_SOWB_Results,Subbasin soil water balance,Net_Percolation,Net percolation (mm)
T_SOWB_Results,Subbasin soil water balance,RS,Surface runoff (mm)
T_SOWB_Results,Subbasin soil water balance,RI,Subsurface runoff (mm)
T_SOWB_Results,Subbasin soil water balance,RG,GW runoff (mm)
T_SOWB_Results,Subbasin soil water balance,R,Total runoff (mm)
T_SOWB_Results,Subbasin soil water balance,S_WATER,Soil water content (mm)
T_SOWB_Results,Subbasin soil water balance,S_MOI,Soil moisture (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Time,Time
T_SOWB_SUBAREA_Results,Subarea soil water balance,ID,Subarea ID
T_SOWB_SUBAREA_Results,Subarea soil water balance,P,Precipitation (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,T,Air temperature (oC)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Soil_T,Soil temperature (oC)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Interception_loss,Interception (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Depression_storage,Depression (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Infiltration,Infiltration (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Interception_ET,Interception ET (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Depression_ET,Depression ET (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Soil_ET,Soil ET (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Revap,GW revaporation (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Total_ET,Total ET (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,Net_Percolation,Net percolation (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,RS,Surface runoff (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,RI,Subsurface runoff (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,RG,GW runoff (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,R,Total runoff (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,S_WATER,Soil water content (mm)
T_SOWB_SUBAREA_Results,Subarea soil water balance,S_MOI,Soil moisture (mm)
T_TDWB_Results,Tile drain water balance,Time,Time
T_TDWB_Results,Tile drain water balance,ID,Tile drain ID
T_TDWB_Results,Tile drain water balance,SoilMoisture,Soil moisture (mm)
T_TDWB_Results,Tile drain water balance,Groundwater,Groundwater (mm)
T_TDWB_Results,Tile drain water balance,GroundwaterTable,Groundwater table (mm)
T_TDWB_Results,Tile drain water balance,Vtileout,Tile flow out (m^3/d)
T_TDWB_Results,Tile drain water balance,Qtileout,Tile discharge (m^3/s)
T_TDWB_Results,Tile drain water balance,Vlag,Tile water lag (m^3/d)
T_SBOF_Results,Subbasin overland flow,Time,Time
T_SBOF_Results,Subbasin overland flow,ID,Subbasin ID
T_SBOF_Results,Subbasin overland flow,SBOF,Subbasin overland flow (mm)
T_TDSB_Results,Tile drain sediment balance,Time,Time
T_TDSB_Results,Tile drain sediment balance,ID,Tile drain ID
T_TDSB_Results,Tile drain sediment balance,SedTileOut,Sediment tile out (t/d)
T_SEDI_Results,Subbasin sediment yield,Time,Time
T_SEDI_Results,Subbasin sediment yield,ID,Subbasin ID
T_SEDI_Results,Subbasin sediment yield,Sediment,Sediment yield (t/d)
T_SEDI_SUBAREA_Results,Subarea sediment yield,Time,Time
T_SEDI_SUBAREA_Results,Subarea sediment yield,ID,Subarea ID
